"Name","Type","Position","Territory","Jurisdiction","Date_Designated","DOB","Nationality","Reference_ID","Programme"
"LICHACHOW, Vitali Viktorovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","22/02/1964","Russia","14635","Russia (Sanctions) (EU Exit) Regulations 2019"
"LISITSYN, Anatoly Ivanovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","26/06/1947","Russia","14507","Russia (Sanctions) (EU Exit) Regulations 2019"
"LISOVSKY, Sergey Fyodorovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","25/04/1960","","14601","Russia (Sanctions) (EU Exit) Regulations 2019"
"LOBACH, Tatyana Georgievna","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","08/01/1974","Russia","14632","Russia (Sanctions) (EU Exit) Regulations 2019"
"LOGINOV, Vyacheslav Yurievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","09/01/1979","Russia","14394","Russia (Sanctions) (EU Exit) Regulations 2019"
"LOOR, Ivan Ivanovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","11/12/1955","Russia","14234","Russia (Sanctions) (EU Exit) Regulations 2019"
"LOTSMANOV, Dmitriy Nikolaevich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","03/02/1975","Russia","14622","Russia (Sanctions) (EU Exit) Regulations 2019"
"LYABIKHOV, Roman Mikhailovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","07/05/1973","Russia","14235","Russia (Sanctions) (EU Exit) Regulations 2019"
"LYUBARSKY, Roman Valerievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","16/07/1980","Russia","14395","Russia (Sanctions) (EU Exit) Regulations 2019"
"MAIDANOV, Denis Vasilievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","17/02/1976","Russia","14236","Russia (Sanctions) (EU Exit) Regulations 2019"
"MAKAROV, Andrey Mikhailovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","22/07/1954","Russia","14538","Russia (Sanctions) (EU Exit) Regulations 2019"
"MAKAROV, Vyacheslav Serafimovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","07/05/1955","Russia","14219","Russia (Sanctions) (EU Exit) Regulations 2019"
"MAKIEV, Zurab Gayozovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","30/06/1976","Russia","14397","Russia (Sanctions) (EU Exit) Regulations 2019"
"MAKSIMOV, Alexander Alexandrovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","15/11/1946","Russia","14237","Russia (Sanctions) (EU Exit) Regulations 2019"
"MAMSUROV, Taimuraz Dzhambekovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","13/04/1954","","14832","Russia (Sanctions) (EU Exit) Regulations 2019"
"MARCHENKO, Evgeniy Evgenievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","17/07/1972","Russia","14399","Russia (Sanctions) (EU Exit) Regulations 2019"
"MARDANSHIN, Rafael Mirkhatimovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","24/12/1961","Russia","14508","Russia (Sanctions) (EU Exit) Regulations 2019"
"MARKHAEV, Vyacheslav Mikhailovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","01/06/1955","Russia","14239","Russia (Sanctions) (EU Exit) Regulations 2019"
"MARKOV, Andrey Pavlovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","30/06/1972","Russia","14238","Russia (Sanctions) (EU Exit) Regulations 2019"
"MARKOV, Evgeny Vladimirovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","08/11/1973","Russia","14398","Russia (Sanctions) (EU Exit) Regulations 2019"
"MARTYNOV, Sergey Alexandrovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","22/08/1959","","14900","Russia (Sanctions) (EU Exit) Regulations 2019"
"MATVEEV, Mikhail Nikolaevich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","13/05/1968","Russia","14240","Russia (Sanctions) (EU Exit) Regulations 2019"
"MAYOROV, Aleksey Petrovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","29/12/1961","","14896","Russia (Sanctions) (EU Exit) Regulations 2019"
"MAZHUGA, Alexander Georgievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","06/08/1980","Russia","14396","Russia (Sanctions) (EU Exit) Regulations 2019"
"MEDVEDEV, Dmitry Anatolyevich","Individual","Vice Chairman of the Security Council of Russia.  Permanent member of the Russian Security Council","Donetsk | Luhansk","UK (OFSI)","15/03/2022","14/09/1965","Russia","14676","Russia (Sanctions) (EU Exit) Regulations 2019"
"METELEV, Artem Pavlovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","11/08/1993","Russia","14400","Russia (Sanctions) (EU Exit) Regulations 2019"
"METSHIN, Aidar Raisovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","27/08/1963","","14222","Russia (Sanctions) (EU Exit) Regulations 2019"
"MIKHAILOV, Sergey Patrovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","22/05/1965","","14914","Russia (Sanctions) (EU Exit) Regulations 2019"
"MILONOV, Vitaly Valentinovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","23/01/1974","Russia","14401","Russia (Sanctions) (EU Exit) Regulations 2019"
"MISHUSTIN, Mikhail Vladimirovich","Individual","Permanent member of the Russian Security Council","Donetsk | Luhansk","UK (OFSI)","15/03/2022","03/03/1966","Russia","14677","Russia (Sanctions) (EU Exit) Regulations 2019"
"MITIN, Sergey Gerasimovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","14/06/1951","","14863","Russia (Sanctions) (EU Exit) Regulations 2019"
"MOROZOV, Igor Nikolayevich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","10/12/1956","","14939","Russia (Sanctions) (EU Exit) Regulations 2019"
"MOROZOV, Oleg Viktorovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","05/11/1953","Russia","14220","Russia (Sanctions) (EU Exit) Regulations 2019"
"MOROZOV, Sergey Ivanovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","06/09/1959","","14539","Russia (Sanctions) (EU Exit) Regulations 2019"
"MOSKVICHEV, Evgeny Sergeevich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","28/09/1957","Russia","14565","Russia (Sanctions) (EU Exit) Regulations 2019"
"MUKHAMETSHIN, Farit Mubarakshevich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","31/01/1947","","14871","Russia (Sanctions) (EU Exit) Regulations 2019"
"MURATOV, Sergey Nikolayevich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","13/01/1964","","14927","Russia (Sanctions) (EU Exit) Regulations 2019"
"MUSATOV, Ivan Mikhailovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","14/02/1976","Russia","14402","Russia (Sanctions) (EU Exit) Regulations 2019"
"NAGOVITSYN, Vyacheslav Vladimirovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","02/03/1956","","14821","Russia (Sanctions) (EU Exit) Regulations 2019"
"NAPSO, Yuri Aisovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","17/04/1973","Russia","14404","Russia (Sanctions) (EU Exit) Regulations 2019"
"NAROLIN, Alexander Vladimirovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","27/06/1972","","14962","Russia (Sanctions) (EU Exit) Regulations 2019"
"NAUMOV, Stanislav Alexandrovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","04/10/1972","Russia","14405","Russia (Sanctions) (EU Exit) Regulations 2019"
"NAZAROVA, Natalya Vasilievna","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","22/12/1953","Russia","14403","Russia (Sanctions) (EU Exit) Regulations 2019"
"NECHAEV, Alexey Gennadievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","30/08/1966","Russia","14566","Russia (Sanctions) (EU Exit) Regulations 2019"
"NEKRASOV, Aleksandr Nikolaevich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","04/05/2022","20/06/1963","","15345","Russia (Sanctions) (EU Exit) Regulations 2019"
"NEMKIN, Anton Igorevich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","22/08/1983","Russia","14406","Russia (Sanctions) (EU Exit) Regulations 2019"
"NEVZOROV, Boris Alexandrovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","21/09/1955","","14837","Russia (Sanctions) (EU Exit) Regulations 2019"
"NIFANTIEV, Evgeny Olegovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","14/09/1978","Russia","14411","Russia (Sanctions) (EU Exit) Regulations 2019"
"NIKITIN, Aleksandr Valeryevich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","26/04/1976","","14945","Russia (Sanctions) (EU Exit) Regulations 2019"
"NIKOLAEV, Nikolai Petrovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","02/04/1970","Russia","14407","Russia (Sanctions) (EU Exit) Regulations 2019"
"NIKOLAEVA, Victoria Viktorovna","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","21/11/1962","Russia","14408","Russia (Sanctions) (EU Exit) Regulations 2019"
"NIKONOV, Vyacheslav Alekseevich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","06/05/1956","Russia","14638","Russia (Sanctions) (EU Exit) Regulations 2019"
"NILOV, Oleg Anatolievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","08/05/1962","Russia","14409","Russia (Sanctions) (EU Exit) Regulations 2019"
"NILOV, Yaroslav Evgenievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","20/03/1982","Russia","14410","Russia (Sanctions) (EU Exit) Regulations 2019"
"NOVICHKOV, Nikolay Vladimirovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","24/12/1974","Russia","14413","Russia (Sanctions) (EU Exit) Regulations 2019"
"NOVIKOV, Dmitry Georgievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","12/09/1969","Russia","14412","Russia (Sanctions) (EU Exit) Regulations 2019"
"NOVOZHILOV, Viktor Feodosyevich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","16/02/1965","","14916","Russia (Sanctions) (EU Exit) Regulations 2019"
"NOVYUKHOV, Aleksandr Vyacheslavovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","10/05/1975","","14954","Russia (Sanctions) (EU Exit) Regulations 2019"
"NURBAGANDOV, Nurbagand Magomedovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","19/03/1957","Russia","14414","Russia (Sanctions) (EU Exit) Regulations 2019"
"OBUKHOV, Sergey Pavlovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","05/10/1958","Russia","14415","Russia (Sanctions) (EU Exit) Regulations 2019"
"OGLOBLINA, Yulia Vasilievna","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","01/11/1989","Russia","14416","Russia (Sanctions) (EU Exit) Regulations 2019"
"OGUL, Leonid Anatolievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","26/10/1963","Russia","14509","Russia (Sanctions) (EU Exit) Regulations 2019"
"ORDENOV, Gennady Ivanovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","04/09/1957","","14917","Russia (Sanctions) (EU Exit) Regulations 2019"
"ORGEEVA, Marina Eduardovna","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","21/09/1959","Russia","14417","Russia (Sanctions) (EU Exit) Regulations 2019"
"ORLOV, Aleksey Maratovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","09/10/1961","","14825","Russia (Sanctions) (EU Exit) Regulations 2019"
"ORLOVA, Natalya Alekseevna","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","29/08/1969","Russia","14627","Russia (Sanctions) (EU Exit) Regulations 2019"
"OSADCHY, Nikolay Ivanovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","08/12/1957","Russia","14418","Russia (Sanctions) (EU Exit) Regulations 2019"
"OSTANINA, Nina Alexandrovna","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","26/12/1955","Russia","14419","Russia (Sanctions) (EU Exit) Regulations 2019"
"OTKE, Anna Ivanovna","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","21/12/1974","","14882","Russia (Sanctions) (EU Exit) Regulations 2019"
"OYUN, Dina Ivanovna","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","25/06/1963","","14904","Russia (Sanctions) (EU Exit) Regulations 2019"
"PAKHOMOV, Sergey Alexandrovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","06/08/1975","Russia","14424","Russia (Sanctions) (EU Exit) Regulations 2019"
"PANESH, Kaplan Mugdinovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","04/09/1974","Russia","14420","Russia (Sanctions) (EU Exit) Regulations 2019"
"PANIN, Gennady Olegovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","13/06/1981","Russia","14421","Russia (Sanctions) (EU Exit) Regulations 2019"
"PANKINA, Irina Alexandrovna","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","08/03/1986","Russia","14423","Russia (Sanctions) (EU Exit) Regulations 2019"
"PANKOV, Nikolay Vasilievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","05/01/1965","Russia","14422","Russia (Sanctions) (EU Exit) Regulations 2019"
"PANTELEEV, Sergey Mikhailovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","04/07/1951","Russia","14567","Russia (Sanctions) (EU Exit) Regulations 2019"
